KOD_ZSJ_P;hour;day;users
6386;11;workday;201
6386;12;workday;191
6386;13;workday;187
6386;14;workday;192
6386;15;workday;200
6386;16;workday;215
6386;17;workday;229
6386;18;workday;235
6386;19;workday;242
6386;20;workday;246
6386;21;workday;241
6386;22;workday;237
6386;23;workday;234
6386;6;weekend;302
6386;7;weekend;312
6386;8;weekend;319
6386;9;weekend;332
6386;10;weekend;329
6386;11;weekend;330
6386;12;weekend;332
6386;13;weekend;333
6386;14;weekend;338
6386;15;weekend;342
6386;16;weekend;341
6386;17;weekend;342
6386;18;weekend;330
6386;19;weekend;331
6386;20;weekend;323
6386;21;weekend;314
6386;22;weekend;305
6386;23;weekend;308
7595;6;workday;759
7595;7;workday;699
7595;8;workday;619
7595;9;workday;617
7595;10;workday;620
7595;11;workday;596
7595;12;workday;563
7595;13;workday;533
7595;14;workday;548
7595;15;workday;580
7595;16;workday;665
7595;17;workday;711
7595;18;workday;733
7595;19;workday;760
7595;20;workday;784
7595;21;workday;766
7595;22;workday;760
7595;23;workday;761
7595;6;weekend;867
7595;7;weekend;877
7595;8;weekend;896
7595;9;weekend;912
7595;10;weekend;935
7595;11;weekend;930
7595;12;weekend;927
7595;13;weekend;945
7595;14;weekend;937
7595;15;weekend;946
7595;16;weekend;981
7595;17;weekend;976
7595;18;weekend;921
7595;19;weekend;939
7595;20;weekend;903
7595;21;weekend;929
7595;22;weekend;932
7595;23;weekend;910
8508;6;workday;2429
8508;7;workday;2715
8508;8;workday;2463
8508;9;workday;2436
8508;10;workday;2448
8508;11;workday;2212
8508;12;workday;2060
8508;13;workday;1996
8508;14;workday;2002
8508;15;workday;2007
8508;16;workday;2306
8508;17;workday;2453
8508;18;workday;2478
8508;19;workday;2466
8508;20;workday;2554
8508;21;workday;2482
8508;22;workday;2339
8508;23;workday;2224
8508;6;weekend;2275
8508;7;weekend;2413
8508;8;weekend;2551
8508;9;weekend;2685
8508;10;weekend;2803
8508;11;weekend;2797
8508;12;weekend;2647
8508;13;weekend;2679
8508;14;weekend;2669
8508;15;weekend;2571
8508;16;weekend;2563
8508;17;weekend;2537
8508;18;weekend;2467
8508;19;weekend;2502
8508;20;weekend;2426
8508;21;weekend;2383
8508;22;weekend;2287
8508;23;weekend;2254
8591;6;workday;1229
8591;7;workday;1091
8591;8;workday;985
8591;9;workday;958
8591;10;workday;953
8591;11;workday;858
8591;12;workday;822
8591;13;workday;778
8591;14;workday;820
